id,dataset_name,dataset_group,input_size,horizon,num_layers,hidden_size,max_steps,learning_rate,batch_size,scaler_type,total_params,smape,is_better,mlp.0.weight_mean,mlp.0.weight_median,mlp.0.weight_std,mlp.0.weight_max,mlp.0.weight_min,mlp.1.weight_mean,mlp.1.weight_median,mlp.1.weight_std,mlp.1.weight_max,mlp.1.weight_min,mlp.2.weight_mean,mlp.2.weight_median,mlp.2.weight_std,mlp.2.weight_max,mlp.2.weight_min,out.weight_mean,out.weight_median,out.weight_std,out.weight_max,out.weight_min
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0005_batch_size_32_scaler_type_identity,Gluonts,m1_monthly,12,8,3,32,200,0.0005,32,identity,2792,0.08310650289058685,False,0.027378210797905922,0.018347248435020447,0.16808390617370605,0.34062090516090393,-0.31016525626182556,0.016940616071224213,0.010616166517138481,0.10927779972553253,0.256705105304718,-0.20201757550239563,0.017763465642929077,0.017431899905204773,0.1066175028681755,0.24979431927204132,-0.19679099321365356,0.03889109566807747,0.04060180112719536,0.104725681245327,0.2476622760295868,-0.1632847934961319
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0005_batch_size_32_scaler_type_standard,Gluonts,m1_monthly,12,8,3,32,200,0.0005,32,standard,2792,0.07575300335884094,True,0.013688434846699238,0.00852263905107975,0.17750227451324463,0.4107891917228699,-0.3660040497779846,0.013978589326143265,0.014942045323550701,0.11244519054889679,0.30151650309562683,-0.28883153200149536,0.004514348227530718,0.0006933571421541274,0.11211611330509186,0.294240266084671,-0.29274895787239075,0.027855247259140015,0.02939336933195591,0.11103615909814835,0.29083719849586487,-0.21589615941047668
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0005_batch_size_32_scaler_type_robust,Gluonts,m1_monthly,12,8,3,32,200,0.0005,32,robust,2792,0.07532252371311188,True,0.016397567465901375,0.010808050632476807,0.17405720055103302,0.4114680290222168,-0.31767356395721436,0.014131374657154083,0.014867622405290604,0.11170735210180283,0.2961054742336273,-0.26360583305358887,0.011859545484185219,0.009817173704504967,0.11201129108667374,0.2846604883670807,-0.2754039764404297,0.03391925245523453,0.036130502820014954,0.10873714089393616,0.293613076210022,-0.17306917905807495
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0005_batch_size_64_scaler_type_identity,Gluonts,m1_monthly,12,8,3,32,200,0.0005,64,identity,2792,0.08318773657083511,False,0.027926137670874596,0.018360886722803116,0.16774185001850128,0.34157437086105347,-0.3081373870372772,0.018544312566518784,0.013112589716911316,0.1099965050816536,0.26639223098754883,-0.1930520385503769,0.01893134042620659,0.019912518560886383,0.10653682053089142,0.25131383538246155,-0.19011323153972626,0.0380345955491066,0.040380366146564484,0.104458287358284,0.24544188380241394,-0.1635747253894806
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0005_batch_size_64_scaler_type_standard,Gluonts,m1_monthly,12,8,3,32,200,0.0005,64,standard,2792,0.0758565217256546,True,0.013943813741207123,0.010317046195268631,0.1776304692029953,0.4151606559753418,-0.3697992265224457,0.01491882000118494,0.014693548902869225,0.1130799874663353,0.302905797958374,-0.2937788665294647,0.0036985359620302916,0.0011955176014453173,0.11348238587379456,0.3079994022846222,-0.28906434774398804,0.02815098501741886,0.029457498341798782,0.11381129920482635,0.2935144901275635,-0.23438970744609833
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0005_batch_size_64_scaler_type_robust,Gluonts,m1_monthly,12,8,3,32,200,0.0005,64,robust,2792,0.07576510310173035,True,0.015966305509209633,0.009749028831720352,0.17435556650161743,0.415090948343277,-0.31810829043388367,0.01516223419457674,0.014936498366296291,0.11294125765562057,0.29843974113464355,-0.26413989067077637,0.01237593125551939,0.011103695258498192,0.11399242281913757,0.28501462936401367,-0.3032914698123932,0.03515888378024101,0.03625274449586868,0.11018835753202438,0.2953700125217438,-0.1738751232624054
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0005_batch_size_128_scaler_type_identity,Gluonts,m1_monthly,12,8,3,32,200,0.0005,128,identity,2792,0.08244961500167847,True,0.027083037421107292,0.01681775227189064,0.1685166209936142,0.3507190942764282,-0.3081590533256531,0.0193238016217947,0.012844422832131386,0.11046767979860306,0.26970553398132324,-0.1990012228488922,0.02063889056444168,0.01863279938697815,0.10734899342060089,0.2603018879890442,-0.18927086889743805,0.03794575482606888,0.0408804714679718,0.10446205735206604,0.2472989559173584,-0.16670191287994385
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0005_batch_size_128_scaler_type_standard,Gluonts,m1_monthly,12,8,3,32,200,0.0005,128,standard,2792,0.0757623240351677,True,0.01465453952550888,0.006746271625161171,0.17811459302902222,0.41617369651794434,-0.3771120011806488,0.015833614394068718,0.016208596527576447,0.11400167644023895,0.3087517023086548,-0.3038335144519806,0.005544978193938732,0.001170670846477151,0.11560206115245819,0.3140726685523987,-0.30125701427459717,0.03272438049316406,0.03171559423208237,0.11472925543785095,0.2882447838783264,-0.23524093627929688
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0005_batch_size_128_scaler_type_robust,Gluonts,m1_monthly,12,8,3,32,200,0.0005,128,robust,2792,0.07550597935914993,True,0.015240222215652466,0.007984576746821404,0.17458902299404144,0.412919282913208,-0.33795109391212463,0.015527414157986641,0.014148242771625519,0.11332949250936508,0.2961093485355377,-0.279213547706604,0.013384303078055382,0.01245897077023983,0.11460655927658081,0.29163357615470886,-0.3096809387207031,0.039076901972293854,0.0387427844107151,0.11024487018585205,0.2929624915122986,-0.17082667350769043
Gluonts_m1_monthly_hidden_size_32_max_steps_200_learning_rate_0.0001_batch_size_32_scaler_type_identity,Gluonts,m1_monthly,12,8,3,32,200,0.0001,32,identity,2792,0.7922207117080688,False,0.01001234445720911,0.003883764147758484,0.16484296321868896,0.3100527822971344,-0.28904274106025696,0.0007884455844759941,-0.001398251741193235,0.103972889482975,0.1972469836473465,-0.19044803082942963,0.003099165391176939,0.003981766290962696,0.1021319255232811,0.1964396983385086,-0.18228015303611755,0.01607825607061386,0.017279719933867455,0.10238379240036011,0.19725069403648376,-0.1694284975528717
