id,dataset_name,dataset_group,input_size,horizon,num_layers,hidden_size,max_steps,total_params,smape,mlp.0.weight_mean,mlp.0.weight_median,mlp.0.weight_std,mlp.0.weight_max,mlp.0.weight_min,out.weight_mean,out.weight_median,out.weight_std,out.weight_max,out.weight_min,mlp.1.weight_mean,mlp.1.weight_median,mlp.1.weight_std,mlp.1.weight_max,mlp.1.weight_min,mlp.2.weight_mean,mlp.2.weight_median,mlp.2.weight_std,mlp.2.weight_max,mlp.2.weight_min,mlp.3.weight_mean,mlp.3.weight_median,mlp.3.weight_std,mlp.3.weight_max,mlp.3.weight_min,mlp.4.weight_mean,mlp.4.weight_median,mlp.4.weight_std,mlp.4.weight_max,mlp.4.weight_min,mlp.5.weight_mean,mlp.5.weight_median,mlp.5.weight_std,mlp.5.weight_max,mlp.5.weight_min,mlp.6.weight_mean,mlp.6.weight_median,mlp.6.weight_std,mlp.6.weight_max,mlp.6.weight_min,mlp.7.weight_mean,mlp.7.weight_median,mlp.7.weight_std,mlp.7.weight_max,mlp.7.weight_min,mlp.8.weight_mean,mlp.8.weight_median,mlp.8.weight_std,mlp.8.weight_max,mlp.8.weight_min,mlp.9.weight_mean,mlp.9.weight_median,mlp.9.weight_std,mlp.9.weight_max,mlp.9.weight_min,mlp.10.weight_mean,mlp.10.weight_median,mlp.10.weight_std,mlp.10.weight_max,mlp.10.weight_min,mlp.11.weight_mean,mlp.11.weight_median,mlp.11.weight_std,mlp.11.weight_max,mlp.11.weight_min
M3_Quarterly_num_layers_5_hidden_size_24_max_steps_100,M3,Quarterly,8,8,5,24,100,2816,0.06415905183130208,0.0351962186396122,0.03167291730642319,0.20847386121749878,0.41728994250297546,-0.3624293804168701,0.04072615131735802,0.044762544333934784,0.12826162576675415,0.3074710965156555,-0.20185869932174683,0.03279884532094002,0.025316543877124786,0.12711869180202484,0.3424043655395508,-0.22999072074890137,0.023841412737965584,0.026336532086133957,0.12505502998828888,0.29532262682914734,-0.2077166736125946,0.009482219815254211,0.013689566403627396,0.12246280163526535,0.25702616572380066,-0.21929965913295746,0.0020083815325051546,-0.0022880658507347107,0.12132447957992554,0.2649649977684021,-0.21802127361297607,0.006100157275795937,-0.0006184676894918084,0.12262406200170517,0.2615615427494049,-0.21000103652477264,0.002952506998553872,-2.731804852373898e-05,0.12198001146316528,0.24060462415218353,-0.2161073237657547,0.004612518474459648,0.003610873594880104,0.12241040170192719,0.25612643361091614,-0.2131088376045227,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_5_hidden_size_24_max_steps_200,M3,Quarterly,8,8,5,24,200,2816,0.05322723030109158,0.034041356295347214,0.041904155164957047,0.21194282174110413,0.4292448163032532,-0.37157168984413147,0.040712084621191025,0.04401097446680069,0.12819868326187134,0.3054012954235077,-0.20185869932174683,0.03297962248325348,0.02668151631951332,0.1367330402135849,0.39024874567985535,-0.277514785528183,0.022338353097438812,0.02574590966105461,0.1275775283575058,0.3393406271934509,-0.27641960978507996,0.009198949672281742,0.013616889715194702,0.12233715504407883,0.2581794857978821,-0.2193010002374649,0.001882192213088274,-0.0022880658507347107,0.12128093838691711,0.2647654414176941,-0.218022421002388,0.006100157275795937,-0.0006184676894918084,0.12262406200170517,0.2615615427494049,-0.21000103652477264,0.002952506998553872,-2.731804852373898e-05,0.12198001146316528,0.24060462415218353,-0.2161073237657547,0.004612518474459648,0.003610873594880104,0.12241040170192719,0.25612643361091614,-0.2131088376045227,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_5_hidden_size_24_max_steps_300,M3,Quarterly,8,8,5,24,300,2816,0.05801842309187761,0.03442561626434326,0.048400022089481354,0.21341221034526825,0.43832048773765564,-0.3944685757160187,0.04111599922180176,0.044633060693740845,0.12839260697364807,0.3061576187610626,-0.20185869932174683,0.028510749340057373,0.02679223194718361,0.1481260359287262,0.4594558775424957,-0.36640167236328125,0.02200319617986679,0.026815373450517654,0.13072752952575684,0.3610687553882599,-0.34928134083747864,0.009638146497309208,0.014635490253567696,0.12250993400812149,0.25987789034843445,-0.21927115321159363,0.002082418417558074,-0.0022880658507347107,0.12141236662864685,0.2662108540534973,-0.218022421002388,0.006100157275795937,-0.0006184676894918084,0.12262406200170517,0.2615615427494049,-0.21000103652477264,0.002952506998553872,-2.731804852373898e-05,0.12198001146316528,0.24060462415218353,-0.2161073237657547,0.004612518474459648,0.003610873594880104,0.12241040170192719,0.25612643361091614,-0.2131088376045227,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_5_hidden_size_24_max_steps_500,M3,Quarterly,8,8,5,24,500,2816,0.05152009519411023,0.031759317964315414,0.04243386536836624,0.21692310273647308,0.44103944301605225,-0.42151689529418945,0.04144241288304329,0.04477535933256149,0.12857331335544586,0.3068273663520813,-0.20185869932174683,0.025956569239497185,0.025317784398794174,0.16304850578308105,0.6314119696617126,-0.5207079648971558,0.024909205734729767,0.028628092259168625,0.13330480456352234,0.37811845541000366,-0.38307464122772217,0.010044591501355171,0.014768190681934357,0.12267021089792252,0.2613523006439209,-0.21919597685337067,0.002236691303551197,-0.0022880658507347107,0.12152796983718872,0.2678295969963074,-0.218022421002388,0.006100157275795937,-0.0006184676894918084,0.12262406200170517,0.2615615427494049,-0.21000103652477264,0.002952506998553872,-2.731804852373898e-05,0.12198001146316528,0.24060462415218353,-0.2161073237657547,0.004612518474459648,0.003610873594880104,0.12241040170192719,0.25612643361091614,-0.2131088376045227,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_8_hidden_size_4_max_steps_100,M3,Quarterly,8,8,8,4,100,216,0.9116253709250487,0.16729271411895752,0.1580241322517395,0.16810177266597748,0.4806273281574249,-0.20034092664718628,0.04075370356440544,0.0071962326765060425,0.2975139915943146,0.6135868430137634,-0.3980589210987091,0.04980752617120743,-0.05597352981567383,0.3103404641151428,0.6472315192222595,-0.480694055557251,0.027659974992275238,-0.01175515167415142,0.2920161485671997,0.4788787364959717,-0.3855806589126587,-0.009360350668430328,-0.0048564523458480835,0.31824490427970886,0.4387771189212799,-0.4630560278892517,0.14651291072368622,0.14303743839263916,0.3025961220264435,0.6016489863395691,-0.4252147674560547,0.015489250421524048,-0.021140068769454956,0.35740700364112854,0.6176915764808655,-0.4701078534126282,0.0648474469780922,0.15151549875736237,0.28832054138183594,0.5768656730651855,-0.4198792576789856,-0.0330575592815876,-0.14454513788223267,0.28270334005355835,0.4812643229961395,-0.39845919609069824,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_8_hidden_size_4_max_steps_200,M3,Quarterly,8,8,8,4,200,216,0.2671513238020025,0.28066006302833557,0.25403255224227905,0.1680070161819458,0.6242796778678894,-0.08432065695524216,0.08128132671117783,0.06352274119853973,0.30960187315940857,0.5946083068847656,-0.398023784160614,0.10566176474094391,0.03124185837805271,0.34568941593170166,0.7654158473014832,-0.480694055557251,0.0524163655936718,-0.011754682287573814,0.3168432116508484,0.5948861837387085,-0.385580837726593,0.024495787918567657,0.06946198642253876,0.34758949279785156,0.5563032031059265,-0.4630560278892517,0.19035226106643677,0.14305081963539124,0.3385418951511383,0.7191476821899414,-0.4252147674560547,0.050631292164325714,-0.02114032953977585,0.38804009556770325,0.7345298528671265,-0.4701078534126282,0.09971925616264343,0.1606592833995819,0.31769245862960815,0.6938261389732361,-0.4198792576789856,-0.01100897416472435,-0.14443306624889374,0.3167809545993805,0.5983180403709412,-0.39845919609069824,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_8_hidden_size_4_max_steps_300,M3,Quarterly,8,8,8,4,300,216,0.1348218003832909,0.2688344419002533,0.24574494361877441,0.18081960082054138,0.7090779542922974,-0.08323697000741959,0.09014448523521423,0.14185529947280884,0.3083997070789337,0.5235723853111267,-0.398023784160614,0.1069040596485138,0.033491168171167374,0.3448607623577118,0.7688285112380981,-0.480694055557251,0.053764112293720245,-0.008533604443073273,0.31941917538642883,0.590697169303894,-0.385580837726593,0.04893513023853302,0.09557473659515381,0.36771202087402344,0.5555862784385681,-0.4630560278892517,0.19068491458892822,0.14305081963539124,0.33889904618263245,0.7206709980964661,-0.4252147674560547,0.05104067176580429,-0.02114032953977585,0.388393372297287,0.735507607460022,-0.4701078534126282,0.10027685761451721,0.1606592833995819,0.3180069029331207,0.6948234438896179,-0.4198792576789856,-0.010816611349582672,-0.14443306624889374,0.31709200143814087,0.5993589758872986,-0.39845919609069824,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_8_hidden_size_4_max_steps_500,M3,Quarterly,8,8,8,4,500,216,0.05511879987858543,0.24191848933696747,0.21411150693893433,0.2340703159570694,0.8705580234527588,-0.12634798884391785,0.08963920176029205,0.17013463377952576,0.3038841485977173,0.5235723853111267,-0.398023784160614,0.1275128871202469,0.04948824644088745,0.34935081005096436,0.7719364762306213,-0.480694055557251,0.035640329122543335,-0.045994460582733154,0.34863409399986267,0.6231760382652283,-0.4511699378490448,0.09308874607086182,0.09557473659515381,0.42620161175727844,0.8936319947242737,-0.4630560278892517,0.20067870616912842,0.14805778861045837,0.3481246829032898,0.7501658797264099,-0.4252147674560547,0.06211724877357483,-0.02114032953977585,0.39710626006126404,0.7619651556015015,-0.4701078534126282,0.11250350624322891,0.1606592833995819,0.3262638747692108,0.7213955521583557,-0.4198792576789856,-0.005680020898580551,-0.14443306624889374,0.325459748506546,0.626691997051239,-0.39845919609069824,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_8_hidden_size_8_max_steps_100,M3,Quarterly,8,8,8,8,100,648,0.7902829427070464,0.09660020470619202,0.0758771300315857,0.21050786972045898,0.4771081805229187,-0.3814975619316101,0.10698673874139786,0.12087750434875488,0.18742774426937103,0.43504589796066284,-0.31179624795913696,0.07932282239198685,0.13610664010047913,0.23571482300758362,0.45497095584869385,-0.36415889859199524,0.025582484900951385,0.006638255435973406,0.2150242030620575,0.4579971134662628,-0.3436671197414398,0.027311749756336212,-0.008995285257697105,0.23501673340797424,0.47117865085601807,-0.3361290395259857,-0.017318710684776306,-0.05650004744529724,0.1900104284286499,0.4051501452922821,-0.3462862968444824,0.023604165762662888,0.04750242456793785,0.2095894068479538,0.4473882019519806,-0.34636980295181274,0.031032787635922432,0.05399209260940552,0.22352339327335358,0.41366904973983765,-0.46758586168289185,-0.04046393185853958,-0.08164452016353607,0.19949239492416382,0.4520969092845917,-0.3474409878253937,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_8_hidden_size_8_max_steps_200,M3,Quarterly,8,8,8,8,200,648,0.07045666017416315,0.13770648837089539,0.11736162006855011,0.22117522358894348,0.5497838854789734,-0.3617171347141266,0.13191579282283783,0.14828930795192719,0.18602553009986877,0.4996527135372162,-0.24027132987976074,0.11659671366214752,0.16955794394016266,0.25465017557144165,0.5360671877861023,-0.365607351064682,0.04614163562655449,0.04024694487452507,0.226553812623024,0.5182119011878967,-0.33371198177337646,0.04352232813835144,-0.001078277826309204,0.24603694677352905,0.5254018902778625,-0.3382856249809265,-0.006972010247409344,-0.05650004744529724,0.20023679733276367,0.46035218238830566,-0.3462862968444824,0.03381205350160599,0.06366011500358582,0.21683241426944733,0.5026618242263794,-0.34636980295181274,0.03589806333184242,0.05236072093248367,0.2315746247768402,0.46389052271842957,-0.48841044306755066,-0.034337159246206284,-0.07789713889360428,0.20690160989761353,0.5118324756622314,-0.3474409878253937,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_8_hidden_size_8_max_steps_300,M3,Quarterly,8,8,8,8,300,648,0.05612223253015528,0.1268957108259201,0.09769092500209808,0.2324453443288803,0.5897122025489807,-0.41177070140838623,0.1320449858903885,0.14828930795192719,0.18552808463573456,0.49659737944602966,-0.24027132987976074,0.12561699748039246,0.17938163876533508,0.2648606598377228,0.6866246461868286,-0.365607351064682,0.05090569332242012,0.04983709380030632,0.2295452356338501,0.531328558921814,-0.33371198177337646,0.04748719930648804,-0.001078277826309204,0.24892711639404297,0.528400719165802,-0.3382856249809265,-0.005733948200941086,-0.05650004744529724,0.20144176483154297,0.46652936935424805,-0.3462862968444824,0.03480793535709381,0.06366011500358582,0.21769021451473236,0.508401095867157,-0.34636980295181274,0.03653514385223389,0.05236055701971054,0.23243042826652527,0.46886560320854187,-0.4896617829799652,-0.033974625170230865,-0.07789713889360428,0.20772352814674377,0.5272263884544373,-0.3474409878253937,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_8_hidden_size_8_max_steps_500,M3,Quarterly,8,8,8,8,500,648,0.053422153576785224,0.11614502966403961,0.1019648090004921,0.2398647665977478,0.6323127746582031,-0.4170665442943573,0.13281559944152832,0.14828930795192719,0.18586744368076324,0.49974170327186584,-0.24027132987976074,0.1297535002231598,0.1868574023246765,0.273356556892395,0.7903006672859192,-0.365607351064682,0.05396509915590286,0.04826084151864052,0.2320551872253418,0.5393456220626831,-0.33371198177337646,0.050169747322797775,-0.0015085076447576284,0.2513454854488373,0.5303274989128113,-0.3382856249809265,-0.004842404276132584,-0.05650004744529724,0.20233453810214996,0.4706403315067291,-0.3462862968444824,0.03557189926505089,0.06366011500358582,0.21832141280174255,0.5123658180236816,-0.34636980295181274,0.03696060553193092,0.05236055701971054,0.23308737576007843,0.47334495186805725,-0.4911050498485565,-0.03349023312330246,-0.07789713889360428,0.20830851793289185,0.5315305590629578,-0.3474409878253937,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_8_hidden_size_12_max_steps_100,M3,Quarterly,8,8,8,12,100,1304,0.0839392064713199,0.09041503071784973,0.09777945280075073,0.204952210187912,0.46087735891342163,-0.3838365375995636,0.08080854266881943,0.05803946778178215,0.17372006177902222,0.378715455532074,-0.2468029111623764,0.0446992963552475,0.024559589102864265,0.19557927548885345,0.4043750762939453,-0.30237579345703125,-0.0015736797358840704,-0.021925028413534164,0.16497576236724854,0.3801376223564148,-0.28617843985557556,-0.002567749936133623,0.010110746137797832,0.17752639949321747,0.3737187087535858,-0.2990657687187195,0.022245824337005615,0.01753237470984459,0.18129044771194458,0.4038132131099701,-0.28144121170043945,0.010029952973127365,-0.0066420407965779305,0.1839495450258255,0.3901325762271881,-0.31426969170570374,0.03537173569202423,0.03157453238964081,0.18203938007354736,0.4117601215839386,-0.2886252701282501,0.03577197715640068,0.02955234795808792,0.19122231006622314,0.4135349690914154,-0.3280627429485321,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_8_hidden_size_12_max_steps_200,M3,Quarterly,8,8,8,12,200,1304,0.05998247440077967,0.08371552079916,0.0917644202709198,0.2092849463224411,0.49582114815711975,-0.38507068157196045,0.08364882320165634,0.05819730833172798,0.17410658299922943,0.38559460639953613,-0.2468026578426361,0.05670084059238434,0.05065639317035675,0.19993706047534943,0.5128242373466492,-0.3024079501628876,-0.0020334471482783556,-0.021931011229753494,0.16495384275913239,0.37167781591415405,-0.28617531061172485,-0.0023428036365658045,0.01011121366173029,0.17775575816631317,0.3756026029586792,-0.299066960811615,0.022465238347649574,0.018047068268060684,0.1815555840730667,0.4051302671432495,-0.2814459204673767,0.010394465178251266,-0.006642447784543037,0.18423378467559814,0.39291828870773315,-0.3142905831336975,0.03598487377166748,0.031574368476867676,0.1825094223022461,0.41390228271484375,-0.2886252701282501,0.03612041473388672,0.029553119093179703,0.19156451523303986,0.4188292920589447,-0.3280728757381439,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
M3_Quarterly_num_layers_8_hidden_size_12_max_steps_300,M3,Quarterly,8,8,8,12,300,1304,0.05661100013745943,0.07669716328382492,0.07310124486684799,0.21521538496017456,0.5250365734100342,-0.31863367557525635,0.084881491959095,0.06159073859453201,0.17483729124069214,0.3892253339290619,-0.2468026578426361,0.07365202903747559,0.08271743357181549,0.2155081033706665,0.6486652493476868,-0.3024079501628876,-0.0003069390950258821,-0.021931011229753494,0.16607697308063507,0.3822413682937622,-0.28617531061172485,-0.001854118425399065,0.01011121366173029,0.17827551066875458,0.38009655475616455,-0.299066960811615,0.023132510483264923,0.018047068268060684,0.1821916550397873,0.4080262780189514,-0.2814459204673767,0.011265710927546024,-0.006642447784543037,0.1851247251033783,0.396676629781723,-0.3142905831336975,0.03712080046534538,0.031574368476867676,0.1833219975233078,0.4180332124233246,-0.2886252701282501,0.03719821199774742,0.029553119093179703,0.1922653764486313,0.4231146275997162,-0.3280728757381439,0.00803698506206274,0.014081140980124474,0.12315825372934341,0.2586655020713806,-0.21524205803871155,0.010571178048849106,0.019008520990610123,0.12036177515983582,0.24695008993148804,-0.21316206455230713,0.010243791155517101,0.012078747153282166,0.11778148263692856,0.26173800230026245,-0.2336147427558899,0.011445214971899986,0.007666231133043766,0.12525907158851624,0.2598889172077179,-0.23724129796028137
