id,dataset_name,dataset_group,input_size,horizon,num_layers,hidden_size,max_steps,learning_rate,batch_size,scaler_type,total_params,smape,is_better,mlp.0.weight_mean,mlp.0.weight_median,mlp.0.weight_std,mlp.0.weight_max,mlp.0.weight_min,mlp.0.weight_frobenius_norm,mlp.0.weight_spectral_norm,mlp.0.weight_alpha,mlp.1.weight_mean,mlp.1.weight_median,mlp.1.weight_std,mlp.1.weight_max,mlp.1.weight_min,mlp.1.weight_frobenius_norm,mlp.1.weight_spectral_norm,mlp.1.weight_alpha,mlp.2.weight_mean,mlp.2.weight_median,mlp.2.weight_std,mlp.2.weight_max,mlp.2.weight_min,mlp.2.weight_frobenius_norm,mlp.2.weight_spectral_norm,mlp.2.weight_alpha,out.weight_mean,out.weight_median,out.weight_std,out.weight_max,out.weight_min,out.weight_frobenius_norm,out.weight_spectral_norm,out.weight_alpha
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.01_batch_size_128_scaler_type_standard,Gluonts,m1_monthly,12,8,3,64,1000,0.01,128,standard,9672,0.07603015005588531,True,0.10644450038671494,0.11145266890525818,0.2719018757343292,1.7447525262832642,-2.0746490955352783,8.092001914978027,4.373355388641357,1.894567552151654,-0.05785131826996803,-0.053331587463617325,0.26098281145095825,1.0353904962539673,-2.1765425205230713,17.108339309692383,7.464005947113037,1.1139170589804481,-0.031157106161117554,-0.024362921714782715,0.24522940814495087,2.2291195392608643,-1.7589553594589233,15.820850372314453,6.938660621643066,1.1239150766075399,-0.02461327239871025,-0.024733686819672585,0.13733869791030884,0.7877752780914307,-0.5130104422569275,3.1571311950683594,2.31441330909729,1.90557724517858
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.01_batch_size_128_scaler_type_robust,Gluonts,m1_monthly,12,8,3,64,1000,0.01,128,robust,9672,0.0685570240020752,True,0.06469136476516724,0.05613935738801956,0.3046310544013977,1.6835461854934692,-1.531363606452942,8.630441665649414,4.765081882476807,1.8468408239439094,-0.08842936158180237,-0.07943975925445557,0.29077163338661194,1.3048546314239502,-2.009748935699463,19.450937271118164,8.948105812072754,1.079400134685443,-0.04668226093053818,-0.04348739609122276,0.21603383123874664,1.2128576040267944,-1.0714008808135986,14.145280838012695,5.683093547821045,1.1027276953296354,-0.01046229898929596,-0.0062832217663526535,0.13154901564121246,0.4337223768234253,-0.3692649006843567,2.986013174057007,1.6231043338775635,2.1876710409432736
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.01_batch_size_128_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,64,1000,0.01,128,minmax,9672,0.0961865559220314,False,0.05951125919818878,0.06506340205669403,0.3165140748023987,1.0728849172592163,-2.678013324737549,8.925193786621094,6.175459861755371,1.7751316229170757,-0.0709807500243187,-0.062452755868434906,0.24479873478412628,1.6358016729354858,-2.394421339035034,16.31243133544922,7.964146614074707,1.1068486278707228,-0.025551117956638336,-0.031468406319618225,0.20647181570529938,3.3756134510040283,-2.3992373943328857,13.314994812011719,5.9841694831848145,1.1389762915501087,-0.022315755486488342,-0.025548240169882774,0.11490978300571442,0.4468814730644226,-0.375018835067749,2.648688793182373,1.664898157119751,1.9251918082731385
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.01_batch_size_256_scaler_type_identity,Gluonts,m1_monthly,12,8,3,64,1000,0.01,256,identity,9672,0.08825647085905075,False,-0.06283550709486008,-0.05449211597442627,0.23462443053722382,0.6913267970085144,-1.8486154079437256,6.73124361038208,3.2043416500091553,1.9660554184450287,-0.019761506468057632,-0.02186085842549801,0.22296161949634552,4.793823719024658,-3.7465062141418457,14.325482368469238,7.452963352203369,1.1020255885689603,-0.012741969898343086,-0.013095559552311897,0.10431403666734695,0.6797435283660889,-0.9243107438087463,6.725719928741455,2.59683895111084,1.104092040630407,0.03987386077642441,0.03957069665193558,0.09138786792755127,0.3674047887325287,-0.5568601489067078,2.2561323642730713,1.2823469638824463,2.039380623317794
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.01_batch_size_256_scaler_type_standard,Gluonts,m1_monthly,12,8,3,64,1000,0.01,256,standard,9672,0.06802832335233688,True,0.058036383241415024,0.05649968236684799,0.27408894896507263,0.9278078675270081,-1.5388587713241577,7.764186859130859,3.9333767890930176,1.904630824064773,-0.05335654318332672,-0.05457548797130585,0.2284485548734665,1.097594976425171,-1.469393014907837,15.01419448852539,5.867614269256592,1.1534386191892239,-0.024797111749649048,-0.025445662438869476,0.18251028656959534,1.0477434396743774,-1.5675737857818604,11.78797721862793,4.627861976623535,1.106758077969461,0.0005308385007083416,5.128281190991402e-05,0.12580738961696625,0.5015751123428345,-0.5486704707145691,2.846721649169922,1.5758392810821533,2.039052200844199
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.01_batch_size_256_scaler_type_robust,Gluonts,m1_monthly,12,8,3,64,1000,0.01,256,robust,9672,0.07223055511713028,True,0.0490235798060894,0.04171433299779892,0.2633550465106964,1.2898085117340088,-1.7025877237319946,7.42368221282959,3.97147274017334,2.020447364653477,-0.07782436907291412,-0.06551066040992737,0.2612839341163635,1.225903034210205,-1.6224098205566406,17.44818115234375,8.009407043457031,1.1338849876038646,-0.03798586130142212,-0.039393868297338486,0.2522243559360504,1.62424635887146,-1.6584124565124512,16.324398040771484,7.149763107299805,1.1028452581870323,-0.04350755363702774,-0.032185524702072144,0.14100418984889984,0.37589943408966064,-0.4825774133205414,3.3389883041381836,2.2099716663360596,1.9331946985269557
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.01_batch_size_256_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,64,1000,0.01,256,minmax,9672,0.07261650264263153,True,0.04810420796275139,0.05043323338031769,0.3473891615867615,1.653112769126892,-3.0969042778015137,9.718992233276367,7.214559078216553,1.7089731068084022,-0.08937956392765045,-0.07262381911277771,0.2412586361169815,2.5239479541778564,-2.9522430896759033,16.466100692749023,8.489606857299805,1.1201968026797557,-0.06086015701293945,-0.054158248007297516,0.2026267796754837,2.1253414154052734,-1.7578301429748535,13.540434837341309,6.002732753753662,1.1070491357900372,-0.021183637902140617,-0.01922018453478813,0.12683114409446716,0.5291759967803955,-0.4142441749572754,2.9096152782440186,1.9365545511245728,1.9485639235877592
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_16_scaler_type_identity,Gluonts,m1_monthly,12,8,3,64,1000,0.005,16,identity,9672,0.081085205078125,True,-0.037001851946115494,-0.03871014714241028,0.19337843358516693,0.3795628249645233,-1.048025369644165,5.456283092498779,2.4045164585113525,2.0394226572901912,-0.006391333416104317,-0.007458318490535021,0.14617560803890228,1.2832739353179932,-2.583327531814575,9.364176750183105,5.160693645477295,1.0749344079421206,-0.007622097618877888,-0.00610257126390934,0.09090793877840042,0.5981178879737854,-0.5265036225318909,5.838522434234619,2.388838768005371,1.1278238245684182,0.02363653853535652,0.025415774434804916,0.07930406183004379,0.19719402492046356,-0.38659438490867615,1.8724541664123535,1.11906099319458,2.375245685131852
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_16_scaler_type_standard,Gluonts,m1_monthly,12,8,3,64,1000,0.005,16,standard,9672,0.06758623570203781,True,0.051078617572784424,0.05021549016237259,0.23655091226100922,0.810595691204071,-1.177107572555542,6.706578731536865,2.8866729736328125,2.18092236767378,-0.028629731386899948,-0.02879330702126026,0.18970738351345062,0.9685218930244446,-1.1149494647979736,12.278754234313965,4.648283958435059,1.092472805870358,-0.016537394374608994,-0.02005130611360073,0.15689602494239807,0.8606944680213928,-0.9753186106681824,10.096970558166504,4.216685771942139,1.115700586287863,0.0007908754050731659,0.0017926571890711784,0.09115343540906906,0.3471798598766327,-0.2826022207736969,2.0626444816589355,1.2393330335617065,2.5950786706358056
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_16_scaler_type_robust,Gluonts,m1_monthly,12,8,3,64,1000,0.005,16,robust,9672,0.06919754296541214,True,0.03782905265688896,0.024953579530119896,0.24004866182804108,0.9728219509124756,-1.0264583826065063,6.73452091217041,3.347325563430786,2.038079943101779,-0.04033233970403671,-0.03508592024445534,0.2073996663093567,0.8797441720962524,-1.0762410163879395,13.522234916687012,5.550238132476807,1.1487252549587312,-0.02567245438694954,-0.023826776072382927,0.17298364639282227,0.8793445229530334,-0.8249265551567078,11.19221019744873,3.883335590362549,1.1011337848762088,0.0042176698334515095,0.003470427356660366,0.10068952292203903,0.33438247442245483,-0.4476083517074585,2.280341625213623,1.0894684791564941,2.2126788333295457
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_16_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,64,1000,0.005,16,minmax,9672,0.07461421936750412,True,0.032382309436798096,0.023658132180571556,0.23253808915615082,1.022576093673706,-1.403666377067566,6.506468772888184,3.766024351119995,1.9927015903661154,-0.05114581435918808,-0.04277458041906357,0.17703671753406525,1.2588783502578735,-1.3482513427734375,11.793707847595215,5.71744441986084,1.1717482773023704,-0.034134406596422195,-0.03485164791345596,0.1373787522315979,0.9050026535987854,-0.8294453024864197,9.059577941894531,3.508500576019287,1.1385554405865654,0.0048608602955937386,0.005636554677039385,0.0831780806183815,0.29500600695610046,-0.23583219945430756,1.8853161334991455,1.1325594186782837,2.2248104853268638
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_32_scaler_type_identity,Gluonts,m1_monthly,12,8,3,64,1000,0.005,32,identity,9672,0.08012397587299347,True,-0.044848501682281494,-0.044685814529657364,0.2085433006286621,0.5823088884353638,-1.2874352931976318,5.9114556312561035,2.5396664142608643,1.9082612973099184,-0.018280083313584328,-0.013122839853167534,0.19387418031692505,2.4320788383483887,-2.718900680541992,12.462980270385742,8.378565788269043,1.0790799745354362,-0.004590584430843592,-0.005375333596020937,0.10781758278608322,0.9751973748207092,-1.472585916519165,6.906577110290527,2.859168767929077,1.1679878956731111,0.03359173238277435,0.03403289616107941,0.08151416480541229,0.4552192986011505,-0.3048391342163086,1.9949328899383545,1.1432297229766846,2.2836568435710114
Gluonts_m1_monthly_hidden_size_64_learning_rate_0.005_batch_size_32_scaler_type_standard,Gluonts,m1_monthly,12,8,3,64,1000,0.005,32,standard,9672,0.06844206154346466,True,0.04554322361946106,0.04108843952417374,0.23997235298156738,0.9276306629180908,-0.8944663405418396,6.769016265869141,2.9487192630767822,1.847651548496517,-0.027094120159745216,-0.02678026631474495,0.19968928396701813,0.8129879236221313,-1.223427653312683,12.897215843200684,4.672351837158203,1.13312139074002,-0.009731986559927464,-0.015995049849152565,0.16515783965587616,1.599413275718689,-0.9380589723587036,10.5884370803833,4.3189616203308105,1.0718388863554458,-0.007072696462273598,0.0012666396796703339,0.10134158283472061,0.2663464844226837,-0.3629301190376282,2.298676013946533,1.5459133386611938,2.4793342243610463
