,start,step_10,step_25,step_50,step_100,step_200,step_300,step_400,step_500
weights_step_50_mlp.0.weight_max,,,,0.007735390216112137,0.007735390216112137,0.007817182689905167,0.006231966894119978,0.006068471819162369,0.006068471819162369
weights_step_50_mlp.0.weight_min,,,,0.0043401350267231464,0.0043401350267231464,0.003882176009938121,0.004754983354359865,0.0034685004502534866,0.0034685004502534866
weights_step_50_mlp.0.weight_var,,,,0.005139035638421774,0.005139035638421774,0.0037820611614733934,0.0005410967278294265,0.0005679724854417145,0.0005679724854417145
weights_step_50_mlp.0.weight_frobenius_norm,,,,0.00786085519939661,0.00786085519939661,0.006903292145580053,0.0064360895194113255,0.006177876144647598,0.006177876144647598
weights_step_50_mlp.0.weight_spectral_norm,,,,0.003344608237966895,0.003344608237966895,0.003832430811598897,0.005185129586607218,0.0026883315294981003,0.0026883315294981003
weights_step_50_mlp.0.weight_alpha,,,,0.0027313039172440767,0.0027313039172440767,0.0019460465991869569,0.0017965355655178428,0.0017624832689762115,0.0017624832689762115
weights_step_50_mlp.0.weight_alpha_hat,,,,0.0038763799238950014,0.0038763799238950014,0.0034520570188760757,0.0035071277525275946,0.0028928963001817465,0.0028928963001817465
weights_step_50_mlp.1.weight_input_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_50_mlp.1.weight_output_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_50_mlp.1.weight_mean,,,,0.006481802091002464,0.006481802091002464,0.004507888574153185,0.004396266769617796,0.0039013680070638657,0.0039013680070638657
weights_step_50_mlp.1.weight_median,,,,0.004014138597995043,0.004014138597995043,0.002857655519619584,0.002758246846497059,0.002383621409535408,0.002383621409535408
weights_step_50_mlp.1.weight_std,,,,0.0023377856705337763,0.0023377856705337763,0.0026813584845513105,0.0030786246061325073,0.0021901221480220556,0.0021901221480220556
weights_step_50_mlp.1.weight_max,,,,0.004271757788956165,0.004271757788956165,0.00240180641412735,0.002914511365815997,0.0024032006040215492,0.0024032006040215492
weights_step_50_mlp.1.weight_min,,,,0.0025245887227356434,0.0025245887227356434,0.0028661980759352446,0.0020498977974057198,0.0017389344284310937,0.0017389344284310937
weights_step_50_mlp.1.weight_var,,,,0.0018100369488820434,0.0018100369488820434,0.0021270387805998325,0.0011029952438548207,0.0008150922949425876,0.0008150922949425876
