,start,step_10,step_25,step_50,step_100,step_200,step_300,step_400,step_500
weights_step_10_mlp.1.weight_min,,0.01086227223277092,0.009088554419577122,0.005410818848758936,0.005410818848758936,0.00511827040463686,0.004918776452541351,0.0034536179155111313,0.0034536179155111313
weights_step_10_mlp.1.weight_var,,0.013201321475207806,0.0044634598307311535,0.00010194480273639783,0.00010194480273639783,0.00047306736814789474,0.0025583275128155947,0.0011439082445576787,0.0011439082445576787
weights_step_10_mlp.1.weight_frobenius_norm,,0.0022001382894814014,0.0008827554993331432,0.0020128428004682064,0.0020128428004682064,0.005595987197011709,0.003858261974528432,0.0004065348766744137,0.0004065348766744137
weights_step_10_mlp.1.weight_spectral_norm,,0.007455050479620695,0.0044563449919223785,0.004063166677951813,0.004063166677951813,0.002401147037744522,0.002465801080688834,0.002970342757180333,0.002970342757180333
weights_step_10_mlp.1.weight_alpha,,0.0064358189702034,0.008236204273998737,0.0019603469409048557,0.0019603469409048557,0.002093077637255192,0.003519324352964759,0.004955753218382597,0.004955753218382597
weights_step_10_mlp.1.weight_alpha_hat,,0.005690503865480423,0.002037766622379422,0.0008203175384551287,0.0008203175384551287,0.0026665281038731337,0.006595103535801172,0.006253667175769806,0.006253667175769806
weights_step_10_mlp.2.weight_input_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_mlp.2.weight_output_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_mlp.2.weight_mean,,0.006394184660166502,0.0024806226138025522,0.0029429427813738585,0.0029429427813738585,0.0005361891817301512,0.003509317757561803,0.00039808102883398533,0.00039808102883398533
weights_step_10_mlp.2.weight_median,,0.031355563551187515,0.026521047577261925,0.018665343523025513,0.018665343523025513,0.024316536262631416,0.022774050012230873,0.021068379282951355,0.021068379282951355
weights_step_10_mlp.2.weight_std,,0.012318396009504795,0.012262199074029922,0.00032361014746129513,0.00032361014746129513,0.00012692440941464156,0.001113192760385573,0.0001787556684575975,0.0001787556684575975
